country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","18-03-2026 16:00:00",25.5626095,84.663264,OZONE,8,64,20
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","18-03-2026 16:00:00",24.75746,84.366208,NH3,1,2,2
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","18-03-2026 16:00:00",24.75746,84.366208,CO,101,103,102
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","18-03-2026 16:00:00",25.42742023,86.13886079,NH3,3,4,4
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","18-03-2026 16:00:00",26.80365,84.51954,OZONE,21,40,29
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.251013,86.989001,PM2.5,73,369,268
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.251013,86.989001,SO2,1,41,23
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.251013,86.989001,OZONE,9,27,14
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.265194,87.012947,PM2.5,17,72,40
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.265194,87.012947,PM10,24,365,171
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.265194,87.012947,CO,78,96,87
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","18-03-2026 16:00:00",25.265194,87.012947,OZONE,6,14,10
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","18-03-2026 16:00:00",25.204762,85.514960,PM2.5,NA,NA,NA
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","18-03-2026 16:00:00",26.1403345,85.3650192,CO,38,63,57
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-03-2026 16:00:00",26.1209,85.3647,PM2.5,83,123,93
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","18-03-2026 16:00:00",26.1209,85.3647,SO2,4,67,10
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","18-03-2026 16:00:00",25.586562,85.043586,PM10,75,376,112
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","18-03-2026 16:00:00",25.586562,85.043586,SO2,4,8,6
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","18-03-2026 16:00:00",25.592539,85.227158,PM10,112,153,134
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","18-03-2026 16:00:00",25.592539,85.227158,NO2,14,17,16
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","18-03-2026 16:00:00",25.592539,85.227158,NH3,4,5,5
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","18-03-2026 16:00:00",25.592539,85.227158,SO2,2,6,4
